Date,aum,net_flow,DPI_price
2021-05-25,141521708.3932643,904125.657248465,376.9257800884645
2021-05-26,156478691.13983163,3118485.926431019,408.9859609916176
2021-05-27,157767123.3290336,2182631.65287567,406.4272991670933
2021-05-28,143730919.3029452,-323869.24870945193,369.2045663374336
2021-05-29,141464258.23166528,4478025.889135157,357.7768628388872
2021-05-30,142049063.58926612,713.34,355.742729306136
2021-05-31,157545997.96344057,4906080.858326264,383.99022485749225
2021-06-01,167179230.04351595,6212139.309322597,391.5934581714162
2021-06-02,177692896.3286166,4703869.759060592,405.9629942678376
2021-06-03,182129122.3488099,790435.8632561752,416.8078446290619
2021-06-04,171746301.76165318,428830.4887795711,386.10253491795976
2021-06-05,167454221.53930005,-452780.310234514,383.6513157710393
2021-06-06,167738681.32755348,170219.50950142634,378.9546356147738
2021-06-07,171630796.48432377,455068.91965062846,386.4041767775016
2021-06-08,149785131.24569157,-378877.1672985609,338.7934544769957
2021-06-09,150363434.37516,425.3616285416458,342.9811465234511
2021-06-10,148923958.8796385,-1608304.648419059,342.2029674963878
2021-06-11,140071442.8425778,144874.09834476738,318.98028482270263
2021-06-12,130050844.2305392,-40551.21622225918,294.9464112981645
2021-06-13,128387155.10769576,-73337.55540723036,297.7599655040808
2021-06-14,141447566.14782262,0.0,327.52773039340025
2021-06-15,145217098.12192407,173356.17553105456,335.1640159140099
2021-06-16,136817192.857719,-729851.9938594317,313.1615632150022
2021-06-17,134319350.24388963,-426795.91955064266,310.2268718830657
2021-06-18,127073072.58742088,-148837.3899520069,289.8728944146206
2021-06-19,122441184.5340798,0.0,283.2693978121655
2021-06-20,119412717.8990736,-128725.10036572482,279.96181728512227
2021-06-21,107340549.49418975,707599.3954950806,242.64875858863087
2021-06-22,100734794.36650568,112222.5873530424,224.9109690158005
2021-06-23,106975994.79227796,326403.729741078,246.309809226118
2021-06-24,103048885.635476,-95043.42395775169,234.147514060327
2021-06-25,97424071.47033878,130094.60224428718,222.1328744459642
2021-06-26,93519246.0065036,-476716.0586718968,213.9824064422312
2021-06-27,97347215.00137788,-40699.70692612739,222.37352353015584
2021-06-28,105929308.54580508,618432.8089417815,243.91450830126416
2021-06-29,116103819.54164907,128384.94352890228,268.8348151773022
2021-06-30,113751789.03127538,504646.3990462662,261.498576334842
2021-07-01,115799257.83347392,246599.7587781127,265.12917826398206
2021-07-02,112902884.33202344,-266401.38995305443,257.7902785876339
2021-07-03,121058899.99034666,298105.0702380825,277.9889359909752
2021-07-04,129423900.50028688,-53308.790359794126,297.0787963673852
2021-07-05,128640137.41958362,-1091506.1960282205,302.0975873731263
2021-07-06,147110167.11460742,110070.40695299962,337.5406932362557
