Date,token_a_amount
20-03-22,449.1008641
21-03-22,333.6501882
22-03-22,1294.084077
23-03-22,2922.111723
24-03-22,401.386048
25-03-22,264.2405467
26-03-22,1095.625654
27-03-22,2294.64038
28-03-22,351.3371385
29-03-22,6127.326022
30-03-22,3038.876827
31-03-22,1505.693542
01-04-22,1368.631311
02-04-22,2312.758032
03-04-22,1887.843163
04-04-22,584.9108146
05-04-22,431.8089891
06-04-22,5987.877212
07-04-22,676.2831088
08-04-22,595.7637836
09-04-22,237.150377
10-04-22,372.1221518
11-04-22,6159.227917
12-04-22,1423.51434
13-04-22,936.2196735
14-04-22,1494.311718
15-04-22,630.2335604
16-04-22,96.32099344
17-04-22,677.553102
18-04-22,718.1592157
19-04-22,636.3998526
20-04-22,1538.305885
21-04-22,442.8045986
22-04-22,624.2603281
23-04-22,868.3215598
24-04-22,164.1294873
25-04-22,1469.206002
26-04-22,811.1348219
27-04-22,998.4488265
28-04-22,209.7187471
29-04-22,893.1913627
30-04-22,2835.489342
01-05-22,14706.25637
02-05-22,28869.07031
03-05-22,1153.01618
04-05-22,4140.868649
05-05-22,885.601867
06-05-22,953.9687613
07-05-22,860.305554
08-05-22,2046.765456
09-05-22,2261.379925
10-05-22,2523.39944
11-05-22,6932.034079
12-05-22,3567.306708
13-05-22,4936.011751
14-05-22,2500.309248
15-05-22,2328.147127
16-05-22,1492.217846
17-05-22,1511.855791
18-05-22,3618.891005
19-05-22,1259.022674
20-05-22,1073.472537
21-05-22,3116.478337
22-05-22,589.6628368
23-05-22,7972.237003
24-05-22,9336.502525
25-05-22,7937.509884
26-05-22,6072.576355
27-05-22,19861.98877
28-05-22,12034.35852
29-05-22,18242.42879
30-05-22,11509.31861
31-05-22,7533.834389
01-06-22,4614.976612
02-06-22,5940.308944
03-06-22,4455.289666
04-06-22,5421.571915
05-06-22,5255.930124
06-06-22,2053.57656
07-06-22,462.9730154
08-06-22,45.25493138
09-06-22,400.1383484
10-06-22,3122.984816
11-06-22,563.4413259
12-06-22,5169.07148
13-06-22,18270.74778
14-06-22,4900.260827
15-06-22,7289.298381
16-06-22,13195.44118
17-06-22,1100.970188
18-06-22,5266.640689
19-06-22,2000.225482
20-06-22,1803.057938
21-06-22,2374.415625
22-06-22,4540.73275
23-06-22,818.751092
24-06-22,417.9423618
25-06-22,1030.946655
26-06-22,1289.685727
27-06-22,657.6886719
28-06-22,486.433329
29-06-22,5523.063155
30-06-22,678.1647759
01-07-22,927.3169091
02-07-22,917.3568289
03-07-22,170.8897656
04-07-22,1160.062295
05-07-22,743.2768245
06-07-22,11652.3513
07-07-22,662.3404827
08-07-22,1036.128379
09-07-22,15328.29851
10-07-22,457.3068762
11-07-22,745.7619868
12-07-22,1218.594667
