Date,BNB_price,WBTC_price,WETH_price,UNI_price,AAVE_price,MKR_price,SNX_price,COMP_price,fear_index,aum,net_flow,DPI_price,Umichigan_survey,ISM_Manufacturing,SPX,NASDAQ,Inflation_CPI,Inflation_PCE,10yr_bond,Fed_funds_rate,2yr_bond,Inflations_expectations,Inflation_surprises,Economic_surprises,Hourly_earnings,MS_Market_Sentiment,VIX,SOFR
2020-12-01,30.889270833333303,19252.68228472224,603.3160347222212,3.706916666666652,75.53450694444426,547.5033124999995,4.89087152777774,110.08490277777776,2.0,29749529.390362687,-3570444.645804356,101.36615732479156,76.9,57.3,3662.45,12355.11,0.1,0.0,0.93,0.25,0.17,2.96,14.77,0.57,4.6,0.93,20.77,0.08
2020-12-02,30.342034722222287,18950.43954166671,593.3725347222188,3.80911111111109,83.09186111111114,549.0392430555548,5.207690972222255,109.04453472222166,2.0,29618157.85486258,-1423341.1238053574,107.08694925837302,76.9,57.3,3669.01,12349.37,0.1,0.0,0.94,0.25,0.16,2.96,14.77,0.57,4.6,0.92,21.17,0.08
2020-12-03,30.43689583333325,19277.506423611125,606.3961527777782,3.914097222222212,87.3078611111108,577.53979861111,5.163468749999973,127.22531944444457,2.0,30781136.398126032,-469693.7138487621,111.7403108629702,76.9,57.3,3666.72,12377.18,0.1,0.0,0.91,0.25,0.15,2.96,14.77,0.57,4.6,0.94,21.28,0.08
2020-12-04,29.969729166666703,19118.762451388888,597.5664444444485,3.738416666666667,87.45474305555575,559.3240416666662,5.131395833333308,137.44138888888878,2.0,30020050.831522297,-61414.02644393794,109.15083411823431,76.9,57.3,3699.12,12464.23,0.1,0.0,0.97,0.25,0.15,2.96,14.77,0.53,4.6,0.99,20.79,0.09
2020-12-05,29.46109722222221,19009.34832638893,588.2099513888901,3.6009652777777883,86.874486111111,526.765000000002,5.13245486111116,133.81795138888887,2.0,29177141.123010807,-505954.7477741434,108.11079366210392,76.9,57.3,3699.12,12464.23,0.1,0.0,0.97,0.25,0.15,2.96,14.77,0.53,4.6,0.99,20.79,0.09
2020-12-06,29.51015972222216,19151.725006944424,596.5054583333332,3.628423611111102,87.90356944444437,521.8473680555554,5.153375000000037,136.92774305555568,2.0,28423783.98118506,-738564.3972132518,108.06889416621593,76.9,57.3,3699.12,12464.23,0.1,0.0,0.97,0.25,0.15,2.96,14.77,0.53,4.6,0.99,20.79,0.09
2020-12-07,29.3769583333333,19207.016861111133,594.4609027777798,3.681104166666659,91.15308333333353,519.6579375000007,5.159972222222119,140.70893749999962,2.0,27904715.544337653,-828745.1807739873,109.35054417344848,76.9,57.3,3691.96,12519.95,0.1,0.0,0.92,0.25,0.14,2.96,14.77,0.52,4.6,1.02,21.3,0.08
2020-12-08,28.628993055555483,18944.6695486112,579.5635277777766,3.557159722222212,86.31768749999983,510.7453263888887,5.118180555555581,161.7282569444445,2.0,22690365.330002166,-4732948.426803106,108.38523839944288,76.9,57.3,3702.25,12582.77,0.1,0.0,0.92,0.25,0.15,2.96,14.77,0.52,4.6,1.03,20.68,0.07
2020-12-09,27.88071527777775,18268.66652083335,560.1080069444432,3.303805555555545,81.58246527777806,492.6945208333347,4.71386111111111,158.57548611111127,2.0,21663536.374002382,-79833.7282864286,102.86803666364024,76.9,57.3,3672.82,12338.95,0.1,0.0,0.94,0.25,0.15,2.96,14.77,0.52,4.6,0.99,22.27,0.08
2020-12-10,27.852173611111013,18298.25478472224,562.8846875000002,3.2642500000000143,79.34414583333312,510.4794027777802,4.65525694444444,155.60352083333325,2.0,20941952.786560044,-160948.54473515443,99.97644427400608,76.9,57.3,3668.1,12405.81,0.1,0.0,0.91,0.25,0.14,2.96,14.77,0.5,4.6,0.9,22.52,0.08
2020-12-11,27.231743055555533,17948.607513888877,546.7388263888922,2.995944444444439,74.04414583333319,509.0658958333353,4.325847222222249,143.9618888888891,2.0,19981944.68185089,232131.0681604425,94.53514430316348,76.9,57.3,3663.46,12377.87,0.1,0.0,0.9,0.25,0.12,2.96,14.77,0.52,4.6,0.78,23.31,0.08
2020-12-12,27.9099236111112,18481.1750833334,559.3812916666649,3.1097013888888707,78.2198888888888,514.9715486111086,4.478204861111039,148.15622222222305,2.0,20947881.785475668,-55238.35435437056,99.0980113484365,76.9,57.3,3663.46,12377.87,0.1,0.0,0.9,0.25,0.12,2.96,14.77,0.52,4.6,0.78,23.31,0.08
2020-12-13,28.774194444444365,19119.23996527776,581.2859583333341,3.2427291666666465,81.04594444444461,523.4138263888871,4.601635416666704,147.56163888888852,2.0,21888968.304695748,198753.2492726953,102.80982807201528,76.9,57.3,3663.46,12377.87,0.1,0.0,0.9,0.25,0.12,2.96,14.77,0.52,4.6,0.78,23.31,0.08
2020-12-14,29.34347916666672,19170.469284722167,585.0546388888893,3.3078194444444926,82.9715347222223,531.3772500000031,4.869444444444388,151.0823611111115,2.0,21480399.578997057,-327338.15243812784,102.65189292246632,76.9,57.3,3647.49,12440.04,0.1,0.0,0.89,0.25,0.12,2.96,14.77,0.52,4.6,0.67,24.72,0.08
