product,day,usd_volume,av 
DPI,2021-07-11T00:00:00+00:00,3.33E+06,4.01E+06
DPI,2021-07-12T00:00:00+00:00,3.57E+06,4.05E+06
DPI,2021-07-13T00:00:00+00:00,2.25E+06,3.81E+06
DPI,2021-07-14T00:00:00+00:00,4.14E+06,3.47E+06
DPI,2021-07-15T00:00:00+00:00,2.60E+06,3.42E+06
DPI,2021-07-16T00:00:00+00:00,5.91E+06,3.45E+06
DPI,2021-07-17T00:00:00+00:00,3.05E+06,3.36E+06
DPI,2021-07-18T00:00:00+00:00,3.67E+06,3.57E+06
DPI,2021-07-19T00:00:00+00:00,1.50E+06,3.34E+06
DPI,2021-07-20T00:00:00+00:00,5.20E+06,3.54E+06
DPI,2021-07-21T00:00:00+00:00,3.60E+06,3.71E+06
DPI,2021-07-22T00:00:00+00:00,1.63E+06,3.40E+06
DPI,2021-07-23T00:00:00+00:00,7.97E+06,4.07E+06
DPI,2021-07-24T00:00:00+00:00,3.27E+06,3.74E+06
DPI,2021-07-25T00:00:00+00:00,1.25E+06,3.51E+06
DPI,2021-07-26T00:00:00+00:00,2.56E+06,3.37E+06
DPI,2021-07-27T00:00:00+00:00,1.84E+06,3.41E+06
DPI,2021-07-28T00:00:00+00:00,1.03E+06,2.89E+06
DPI,2021-07-29T00:00:00+00:00,1.41E+06,2.62E+06
DPI,2021-07-30T00:00:00+00:00,1.65E+06,2.62E+06
DPI,2021-07-31T00:00:00+00:00,1.72E+06,1.84E+06
DPI,2021-08-01T00:00:00+00:00,3.00E+06,1.81E+06
DPI,2021-08-02T00:00:00+00:00,4.39E+06,2.20E+06
DPI,2021-08-03T00:00:00+00:00,3.19E+06,2.28E+06
DPI,2021-08-04T00:00:00+00:00,3.23E+06,2.45E+06
DPI,2021-08-05T00:00:00+00:00,2.77E+06,2.67E+06
DPI,2021-08-06T00:00:00+00:00,2.62E+06,2.82E+06
DPI,2021-08-07T00:00:00+00:00,3.47E+06,3.05E+06
DPI,2021-08-08T00:00:00+00:00,4.18E+06,3.36E+06
DPI,2021-08-09T00:00:00+00:00,6.81E+06,3.83E+06
DPI,2021-08-10T00:00:00+00:00,1.14E+07,4.70E+06
DPI,2021-08-11T00:00:00+00:00,7.15E+06,5.20E+06
DPI,2021-08-12T00:00:00+00:00,7.49E+06,5.73E+06
DPI,2021-08-13T00:00:00+00:00,6.54E+06,6.20E+06
DPI,2021-08-14T00:00:00+00:00,2.07E+06,6.13E+06
DPI,2021-08-15T00:00:00+00:00,4.48E+06,6.26E+06
DPI,2021-08-16T00:00:00+00:00,7.68E+06,6.70E+06
DPI,2021-08-17T00:00:00+00:00,1.18E+07,7.32E+06
DPI,2021-08-18T00:00:00+00:00,6.95E+06,6.77E+06
DPI,2021-08-19T00:00:00+00:00,4.54E+06,6.44E+06
DPI,2021-08-20T00:00:00+00:00,6.75E+06,6.35E+06
DPI,2021-08-21T00:00:00+00:00,6.95E+06,6.40E+06
DPI,2021-08-22T00:00:00+00:00,4.62E+06,6.72E+06
DPI,2021-08-23T00:00:00+00:00,2.94E+06,6.53E+06
DPI,2021-08-24T00:00:00+00:00,7.23E+06,6.47E+06
DPI,2021-08-25T00:00:00+00:00,3.47E+06,5.43E+06
DPI,2021-08-26T00:00:00+00:00,5.82E+06,5.29E+06
DPI,2021-08-27T00:00:00+00:00,2.91E+06,5.09E+06
DPI,2021-08-28T00:00:00+00:00,1.81E+06,4.47E+06
DPI,2021-08-29T00:00:00+00:00,2.34E+06,3.89E+06
DPI,2021-08-30T00:00:00+00:00,3.14E+06,3.71E+06
DPI,2021-08-31T00:00:00+00:00,3.79E+06,3.81E+06
DPI,2021-09-01T00:00:00+00:00,5.48E+06,3.59E+06
DPI,2021-09-02T00:00:00+00:00,3.88E+06,3.64E+06
DPI,2021-09-03T00:00:00+00:00,3.14E+06,3.31E+06
DPI,2021-09-04T00:00:00+00:00,3.47E+06,3.38E+06
DPI,2021-09-05T00:00:00+00:00,9.50E+06,4.34E+06
DPI,2021-09-06T00:00:00+00:00,9.96E+06,5.30E+06
DPI,2021-09-07T00:00:00+00:00,3.94E+07,9.83E+06
DPI,2021-09-08T00:00:00+00:00,2.00E+07,1.19E+07
DPI,2021-09-09T00:00:00+00:00,9.95E+06,1.24E+07
DPI,2021-09-10T00:00:00+00:00,1.16E+07,1.34E+07
DPI,2021-09-11T00:00:00+00:00,3.00E+06,1.34E+07
DPI,2021-09-12T00:00:00+00:00,2.51E+06,1.32E+07
DPI,2021-09-13T00:00:00+00:00,9.77E+06,1.33E+07
DPI,2021-09-14T00:00:00+00:00,1.06E+07,1.34E+07
DPI,2021-09-15T00:00:00+00:00,5.99E+06,9.17E+06
DPI,2021-09-16T00:00:00+00:00,3.93E+06,7.16E+06
DPI,2021-09-17T00:00:00+00:00,1.47E+07,7.76E+06
DPI,2021-09-18T00:00:00+00:00,3.25E+06,6.72E+06
DPI,2021-09-19T00:00:00+00:00,7.64E+06,7.30E+06
DPI,2021-09-20T00:00:00+00:00,9.26E+06,8.14E+06
DPI,2021-09-21T00:00:00+00:00,4.51E+06,7.49E+06
DPI,2021-09-22T00:00:00+00:00,3.43E+06,6.59E+06
DPI,2021-09-23T00:00:00+00:00,3.77E+06,6.32E+06
DPI,2021-09-24T00:00:00+00:00,4.08E+06,6.33E+06
DPI,2021-09-25T00:00:00+00:00,3.62E+06,4.95E+06
DPI,2021-09-26T00:00:00+00:00,8.59E+06,5.61E+06
DPI,2021-09-27T00:00:00+00:00,6.14E+06,5.43E+06
DPI,2021-09-28T00:00:00+00:00,2.18E+06,4.54E+06
DPI,2021-09-29T00:00:00+00:00,2.58E+06,4.30E+06
DPI,2021-09-30T00:00:00+00:00,1.90E+06,4.11E+06
DPI,2021-10-01T00:00:00+00:00,2.48E+06,3.95E+06
DPI,2021-10-02T00:00:00+00:00,2.68E+06,3.77E+06
DPI,2021-10-03T00:00:00+00:00,1.30E+06,3.48E+06
DPI,2021-10-04T00:00:00+00:00,3.06E+06,2.79E+06
DPI,2021-10-05T00:00:00+00:00,2.64E+06,2.35E+06
DPI,2021-10-06T00:00:00+00:00,1.76E+06,2.30E+06
DPI,2021-10-07T00:00:00+00:00,1.04E+06,2.11E+06
DPI,2021-10-08T00:00:00+00:00,1.39E+06,2.04E+06
DPI,2021-10-09T00:00:00+00:00,602862.4952,1.81E+06
DPI,2021-10-10T00:00:00+00:00,1.31E+06,1.64E+06
DPI,2021-10-11T00:00:00+00:00,1.83E+06,1.70E+06
DPI,2021-10-12T00:00:00+00:00,1.98E+06,1.57E+06
DPI,2021-10-13T00:00:00+00:00,1.44E+06,1.42E+06
DPI,2021-10-14T00:00:00+00:00,2.30E+06,1.49E+06
DPI,2021-10-15T00:00:00+00:00,2.45E+06,1.66E+06
